Columna1,Fecha Prod.,Hora Proceso,Muestra,Punto,Código,Producto,OP,CANT. BACHES A PRODUCIR,# BACHE,m1,m2,Porcentaje Durabilidad,Dureza,% Finos,Criba,Granulometría 10,Granulometría 12,Granulometría 14,Granulometría 16,Granulometría Pan,OPERADOR,Analista,OBSERVACIONES,Columna2,Unnamed: 25,Fecha
1.0,2025-01-04 00:00:00,13:50:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,36.0,25.0,4.0,500.0,446.0,89.2,3.7,10.799999999999997,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-04
2.0,2025-01-04 00:00:00,16:50:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,36.0,25.0,7.0,500.0,459.5,91.9,3.5,8.099999999999994,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-04
3.0,2025-01-04 00:00:00,18:15:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,36.0,25.0,11.0,500.0,456.5,91.3,3.9,8.700000000000003,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-04
4.0,2025-01-05 00:00:00,11:00:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,36.0,25.0,17.0,500.0,452.0,90.4,3.8,9.599999999999994,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-05
5.0,2025-01-05 00:00:00,12:50:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,36.0,25.0,22.0,500.0,461.5,92.3,3.7,7.700000000000003,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-05
6.0,2025-01-05 00:00:00,16:30:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,37.0,23.0,4.0,500.0,455.0,91.0,3.5,9.0,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-05
7.0,2025-01-05 00:00:00,17:40:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,37.0,23.0,8.0,500.0,466.0,93.2,3.6,6.799999999999997,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-05
8.0,2025-01-05 00:00:00,18:40:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,27.0,23.0,12.0,500.0,434.5,86.9,3.1,13.099999999999994,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-05
9.0,2025-01-04 00:00:00,12:00:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,36.0,25.0,5.0,,,,,,"2,5-3,0",0.2,0.88,1.68,8.12,89.11999999999999,,BRAYAN HERRERA,,,,2025-01-04
10.0,2025-01-04 00:00:00,16:30:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,36.0,25.0,10.0,,,,,,"2,5-3,0",0.28,1.36,8.8,7.4,82.16,,BRAYAN HERRERA,,,,2025-01-04
11.0,2025-01-05 00:00:00,11:00:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,36.0,25.0,21.0,,,,,,"2,5-3,0",0.12,0.68,7.32,8.12,83.75999999999999,,BRAYAN HERRERA,,,,2025-01-05
12.0,2025-01-05 00:00:00,13:00:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,36.0,25.0,25.0,,,,,,"2,5-3,0",0.2,1.16,8.88,8.16,81.60000000000001,,BRAYAN HERRERA,,,,2025-01-05
13.0,2025-01-05 00:00:00,16:30:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,37.0,23.0,5.0,,,,,,"2,5-3,0",0.2,1.12,8.24,7.8,82.64,,BRAYAN HERRERA,,,,2025-01-05
14.0,2025-01-06 00:00:00,10:00:00,MOLIENDA,TOLVA,200544.0,FINALIZADOR,38.0,8.0,5.0,,,,,,"2,5-3,0",0.08,0.64,5.08,4.16,90.04,,LUZ ANGELA TOCORA ,,,,2025-01-06
15.0,2025-01-06 00:00:00,11:30:00,PELLET,ZARANDA 1,200544.0,FINALIZADOR,38.0,8.0,5.0,500.0,464.5,92.9,2.7,7.099999999999994,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-06
16.0,2025-01-06 00:00:00,13:50:00,MOLIENDA,TOLVA,200542.0,LEVANTE,39.0,15.0,8.0,,,,,,"2,5-3,0",0.24,1.36,9.24,6.92,82.24000000000001,,LUZ ANGELA TOCORA ,,,,2025-01-06
17.0,2025-01-06 00:00:00,14:35:00,PELLET,ZARANDA 1,200541.0,LEVANTE,39.0,15.0,4.0,500.0,456.0,91.2,2.68,8.799999999999997,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-06
18.0,2025-01-06 00:00:00,16:00:00,PELLET,ZARANDA 1,200541.0,LEVANTE,39.0,15.0,8.0,500.0,454.5,90.9,2.7,9.099999999999994,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-06
19.0,2025-01-06 00:00:00,17:00:00,MOLIENDA,TOLVA,200541.0,LEVANTE,39.0,15.0,15.0,,,,,,,0.16,0.76,6.36,5.88,86.84,,LUZ ANGELA TOCORA ,,,,2025-01-06
20.0,2025-01-06 00:00:00,17:30:00,PELLET,ZARANDA 1,200541.0,LEVANTE,39.0,15.0,12.0,500.0,469.5,93.9,2.8,6.099999999999994,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-06
21.0,2025-01-06 00:00:00,19:15:00,PELLET,ZARANDA 1,200542.0,LEVANTE,40.0,1.0,1.0,500.0,459.5,91.9,2.6,8.099999999999994,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-06
22.0,2025-01-06 00:00:00,20:00:00,MOLIENDA,TOLVA,200542.0,LEVANTE,40.0,1.0,1.0,,,,,,,0.2,0.52,5.56,4.56,89.16,,LUZ ANGELA TOCORA ,,,,2025-01-06
23.0,2025-01-06 00:00:00,21:00:00,PELLET,ZARANDA 1,200542.0,LEVANTE,41.0,19.0,4.0,500.0,455.0,91.0,3.03,9.0,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-06
24.0,2025-01-06 00:00:00,21:00:00,MOLIENDA,TOLVA,200542.0,LEVANTE,41.0,19.0,5.0,,,,,,"2,5-3,0",0.32,1.16,9.4,7.6,81.52000000000001,,LUZ ANGELA TOCORA ,,,,2025-01-06
25.0,2025-01-06 00:00:00,21:50:00,MOLIENDA,TOLVA,200542.0,LEVANTE,41.0,19.0,10.0,,,,,,"2,5-3,0",0.24,1.2,9.72,5.42,83.42,,LUZ ANGELA TOCORA ,,,,2025-01-06
26.0,2025-01-06 00:00:00,22:10:00,PELLET,ZARANDA 1,200542.0,LEVANTE,41.0,19.0,9.0,500.0,460.0,92.0,2.84,8.0,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-06
27.0,2025-01-07 00:00:00,09:50:00,MOLIENDA,TOLVA,200542.0,LEVANTE,41.0,19.0,16.0,,,,,,"2,5-3,0",0.28,1.04,7.92,6.72,84.03999999999999,,LUZ ANGELA TOCORA ,,,,2025-01-07
28.0,2025-01-07 00:00:00,10:20:00,PELLET,ZARANDA 1,200542.0,LEVANTE,41.0,19.0,16.0,500.0,435.0,87.0,2.08,13.0,,,,,,,,LUZ ANGELA TOCORA ,,,,2025-01-07
29.0,2025-01-07 00:00:00,13:15:00,PELLET,ZARANDA 1,200543.0,ENGORDE,42.0,10.0,4.0,500.0,455.5,91.1,2.9,8.900000000000006,,,,,,,,VANESSA LOSADA,,,,2025-01-07
30.0,2025-01-07 00:00:00,15:30:00,PELLET,ZARANDA 1,200543.0,ENGORDE,42.0,10.0,8.0,500.0,460.5,92.1,3.0,7.900000000000006,,,,,,,,VANESSA LOSADA,,,,2025-01-07
31.0,2025-01-07 00:00:00,17:30:00,PELLET,ZARANDA 1,200541.0,LEVANTE,43.0,35.0,4.0,500.0,455.0,91.0,2.9,9.0,,,,,,,,VANESSA LOSADA,,,,2025-01-07
32.0,2025-01-07 00:00:00,18:40:00,PELLET,ZARANDA 1,200541.0,LEVANTE,43.0,35.0,8.0,500.0,467.0,93.4,2.8,6.599999999999994,,,,,,,,VANESSA LOSADA,,,,2025-01-07
33.0,2025-01-07 00:00:00,19:40:00,PELLET,ZARANDA 1,200541.0,LEVANTE,43.0,35.0,12.0,500.0,463.5,92.7,3.0,7.299999999999997,,,,,,,,VANESSA LOSADA,,,,2025-01-07
34.0,2025-01-07 00:00:00,20:40:00,PELLET,ZARANDA 1,200541.0,LEVANTE,43.0,35.0,16.0,500.0,450.0,90.0,2.8,10.0,,,,,,,,VANESSA LOSADA,,,,2025-01-07
35.0,2025-01-08 00:00:00,10:40:00,PELLET,ZARANDA 1,200541.0,LEVANTE,43.0,35.0,23.0,500.0,464.0,92.8,2.5,7.200000000000003,,,,,,,,VANESSA LOSADA,,,,2025-01-08
36.0,2025-01-09 00:00:00,14:00:00,MOLIENDA,TOLVA,200543.0,ENGORDE,46.0,10.0,5.0,,,,,,"2,5-3,0",0.16,0.84,7.12,8.24,83.64,,NATALIA RODRIGUEZ,,,,2025-01-09
61.0,2025-01-09 00:00:00,11:10:00,PELLET,ZARANDA 1,200542.0,LEVANTE,45.0,20.0,16.0,500.0,439.0,87.8,2.89,12.200000000000003,,,,,,,,VANESSA LOSADA,,,,2025-01-09
