Tipo medida,Dieta,Punto,Media,Cantidad,Mínimo,P25,Mediana,P75,Máximo,Desviación estandar,Varianza,Error estandar
Porcentaje Durabilidad,C. ENGORDE ESP P.,ZARANDA 1,87.93,12,78.8,81.57,90.3,93.1,94.2,6.05,36.62,1.75
Porcentaje Durabilidad,C. FINALIZADOR P.,ZARANDA 1,91.76,9,90.4,91.6,91.8,92.4,92.6,0.77,0.59,0.26
Porcentaje Durabilidad,C. LEVANTE ESP. P,ZARANDA 1,90.14,7,87.2,88.1,90.8,91.3,94.2,2.53,6.4,0.96
Porcentaje Durabilidad,C. LEVANTE VR P.,ZARANDA 1,90.11,149,76.1,89.0,91.0,92.8,95.9,3.77,14.21,0.31
Porcentaje Durabilidad,C.ENGORDE ESP VR.,ZARANDA 1,89.25,30,78.0,87.78,89.85,91.18,94.4,3.03,9.15,0.55
Porcentaje Durabilidad,C.LEVANTE P.,ZARANDA 1,92.08,23,83.2,91.9,92.6,93.4,94.4,2.48,6.16,0.52
Porcentaje Durabilidad,FINALIZADOR VR.,POS-ENGRASE,85.67,21,72.4,80.5,88.0,90.0,94.9,6.24,38.98,1.36
Porcentaje Durabilidad,FINALIZADOR VR.,ZARANDA 1,90.93,66,85.2,89.28,91.1,92.38,99.8,2.55,6.5,0.31
Porcentaje Durabilidad,LEVANTE R ESP VR,POS-ENGRASE,87.19,15,72.0,85.55,90.0,91.2,92.8,6.7,44.83,1.73
Porcentaje Durabilidad,LEVANTE R ESP VR,ZARANDA 1,89.93,58,75.8,88.78,90.6,91.75,98.3,3.33,11.07,0.44
Dureza,C. ENGORDE ESP P.,ZARANDA 1,2.57,12,2.2,2.42,2.53,2.68,3.1,0.25,0.06,0.07
Dureza,C. FINALIZADOR P.,ZARANDA 1,2.76,9,2.29,2.76,2.81,2.9,3.16,0.27,0.07,0.09
Dureza,C. LEVANTE ESP. P,ZARANDA 1,2.36,7,2.12,2.2,2.34,2.45,2.75,0.22,0.05,0.08
Dureza,C. LEVANTE VR P.,ZARANDA 1,2.89,149,1.65,2.5,2.97,3.12,5.4,0.53,0.28,0.04
Dureza,C.ENGORDE ESP VR.,ZARANDA 1,2.7,30,2.01,2.45,2.82,3.0,3.4,0.38,0.14,0.07
Dureza,C.LEVANTE P.,ZARANDA 1,2.9,23,2.2,2.73,3.0,3.15,3.52,0.37,0.13,0.08
Dureza,FINALIZADOR VR.,POS-ENGRASE,2.79,21,1.5,2.33,2.7,3.28,3.96,0.62,0.38,0.13
Dureza,FINALIZADOR VR.,ZARANDA 1,2.92,66,2.1,2.57,2.99,3.29,3.9,0.47,0.22,0.06
Dureza,LEVANTE R ESP VR,POS-ENGRASE,2.8,15,1.6,2.55,3.0,3.2,3.3,0.52,0.27,0.13
Dureza,LEVANTE R ESP VR,ZARANDA 1,2.89,58,1.66,2.6,3.0,3.17,3.8,0.43,0.18,0.06
