Tipo medida,Dieta,Orden producción,Media,Cantidad,Mínimo,Quantil25,Mediana,Quantil75,Máximo,Desviacion Estandar,Varianza,Error Estandar
Porcentaje Durabilidad,C. LEVANTE P.,112.0,89.85,6,83.2,88.72,91.35,92.4,92.6,3.68,13.54,1.5
Porcentaje Durabilidad,C. LEVANTE P.,118.0,93.2,7,92.0,92.7,93.2,93.7,94.4,0.82,0.68,0.31
Porcentaje Durabilidad,C. LEVANTE VR P.,1.0,86.69,9,76.5,82.1,88.1,90.7,95.9,6.74,45.45,2.25
Porcentaje Durabilidad,C. LEVANTE VR P.,58.0,92.28,6,91.0,91.38,92.6,92.85,93.6,1.06,1.13,0.43
Porcentaje Durabilidad,C. LEVANTE VR P.,65.0,90.03,6,87.2,88.95,89.7,91.5,92.8,2.07,4.29,0.85
Porcentaje Durabilidad,C. LEVANTE VR P.,68.0,90.44,7,87.7,89.15,91.2,91.5,92.9,1.95,3.81,0.74
Porcentaje Durabilidad,C. LEVANTE VR P.,73.0,88.57,7,82.0,84.6,91.4,91.8,93.8,4.7,22.05,1.77
Porcentaje Durabilidad,C. LEVANTE VR P.,76.0,91.31,8,87.2,90.62,92.05,92.93,93.8,2.41,5.8,0.85
Porcentaje Durabilidad,C. LEVANTE VR P.,94.0,89.04,11,83.0,87.7,90.4,91.5,92.8,3.18,10.1,0.96
Porcentaje Durabilidad,C. LEVANTE VR P.,101.0,91.66,8,89.8,91.0,91.35,92.25,93.8,1.26,1.59,0.45
Porcentaje Durabilidad,FINALIZADOR VR.,1.0,88.29,9,76.7,88.0,88.1,91.5,94.9,5.09,25.94,1.7
Porcentaje Durabilidad,FINALIZADOR VR.,33.0,91.68,6,89.6,91.08,91.45,92.42,93.9,1.48,2.18,0.6
Porcentaje Durabilidad,FINALIZADOR VR.,64.0,90.11,7,88.0,89.8,90.0,90.8,91.6,1.17,1.37,0.44
Porcentaje Durabilidad,FINALIZADOR VR.,95.0,91.9,8,90.0,91.48,91.95,92.55,93.2,1.04,1.08,0.37
Porcentaje Durabilidad,FINALIZADOR VR.,105.0,89.43,6,87.5,88.85,89.4,90.25,91.1,1.28,1.63,0.52
Porcentaje Durabilidad,LEVANTE R ESP VR,67.0,86.2,6,75.8,84.02,88.2,90.42,91.2,5.94,35.25,2.42
Dureza,C. LEVANTE P.,112.0,2.78,6,2.4,2.48,2.73,2.84,3.52,0.41,0.17,0.17
Dureza,C. LEVANTE P.,118.0,2.99,7,2.3,2.95,3.1,3.2,3.26,0.33,0.11,0.13
Dureza,C. LEVANTE VR P.,1.0,3.61,9,2.25,2.9,3.1,4.5,5.4,1.04,1.08,0.35
Dureza,C. LEVANTE VR P.,58.0,3.32,6,3.0,3.15,3.35,3.48,3.6,0.23,0.05,0.09
Dureza,C. LEVANTE VR P.,65.0,2.83,6,2.25,2.64,3.0,3.0,3.21,0.36,0.13,0.15
Dureza,C. LEVANTE VR P.,68.0,3.13,7,3.0,3.05,3.1,3.2,3.3,0.11,0.01,0.04
Dureza,C. LEVANTE VR P.,73.0,3.04,7,2.96,3.0,3.05,3.07,3.1,0.05,0.0,0.02
Dureza,C. LEVANTE VR P.,76.0,3.16,8,3.0,3.04,3.14,3.21,3.5,0.16,0.03,0.06
Dureza,C. LEVANTE VR P.,94.0,2.48,11,2.2,2.24,2.41,2.5,3.15,0.34,0.12,0.1
Dureza,C. LEVANTE VR P.,101.0,2.5,8,2.1,2.34,2.55,2.68,2.83,0.26,0.07,0.09
Dureza,FINALIZADOR VR.,1.0,2.9,9,2.33,2.66,2.79,3.06,3.9,0.47,0.22,0.16
Dureza,FINALIZADOR VR.,33.0,2.9,6,2.7,2.78,3.0,3.0,3.0,0.15,0.02,0.06
Dureza,FINALIZADOR VR.,64.0,3.11,7,2.44,3.05,3.27,3.3,3.35,0.32,0.1,0.12
Dureza,FINALIZADOR VR.,95.0,2.52,8,2.1,2.38,2.6,2.65,2.8,0.24,0.06,0.09
Dureza,FINALIZADOR VR.,105.0,2.53,6,2.13,2.28,2.48,2.74,3.04,0.34,0.12,0.14
Dureza,LEVANTE R ESP VR,67.0,3.13,6,3.0,3.03,3.12,3.17,3.35,0.13,0.02,0.05
