Tipo,Producto,Medio,Cantidad,Mínimo,Quantil25,Mediana,Quantil75,Máximo,Desviación Estandar,Varianza,Error Estandar
Granularidad 12,ENGORDE,0.81,29,0.24,0.44,0.84,1.04,1.84,0.41,0.17,0.08
Granularidad 12,FINALIZADOR,0.72,68,0.04,0.44,0.64,0.89,2.12,0.42,0.18,0.05
Granularidad 12,LEVANTE,0.81,194,0.0,0.46,0.72,1.04,2.28,0.48,0.23,0.03
Granularidad 14,ENGORDE,6.05,29,2.36,4.88,5.96,6.92,10.96,2.18,4.74,0.4
Granularidad 14,FINALIZADOR,5.91,68,0.92,4.57,5.93,7.57,9.84,2.1,4.43,0.25
Granularidad 14,LEVANTE,5.91,195,0.0,4.42,6.08,7.56,10.6,2.24,5.04,0.16
Granularidad 16,ENGORDE,5.38,29,2.8,4.22,5.16,6.58,8.76,1.67,2.79,0.31
Granularidad 16,FINALIZADOR,5.89,68,2.44,4.61,6.06,7.12,9.76,1.58,2.49,0.19
Granularidad 16,LEVANTE,5.47,195,0.0,4.62,5.52,6.5,8.88,1.56,2.43,0.11
Granularidad Pan,ENGORDE,87.56,29,78.84,85.2,88.0,90.06,94.4,4.05,16.44,0.75
Granularidad Pan,FINALIZADOR,87.25,68,78.84,83.93,87.2,89.89,96.16,3.76,14.14,0.44
Granularidad Pan,LEVANTE,87.59,194,79.36,84.46,87.38,90.18,100.0,4.05,16.44,0.29
