Granulometría,Dieta agrupada,Media,Cantidad,Mínimo,Quantil25,Mediana,Quantil75,Máximo,Desviacion Estandar,Varianza,Error Estandar
Malla 10%,ENGORDE,0.33,41,0.04,0.16,0.24,0.4,1.8,0.3,0.09,0.05
Malla 10%,FINALIZADOR,0.25,74,0.0,0.12,0.2,0.28,1.3,0.21,0.04,0.02
Malla 10%,LEVANTE,0.25,218,0.0,0.12,0.19,0.32,1.26,0.21,0.05,0.01
Malla 12%,ENGORDE,0.97,41,0.24,0.6,0.96,1.24,3.2,0.53,0.29,0.08
Malla 12%,FINALIZADOR,0.77,74,0.04,0.44,0.64,0.95,2.4,0.47,0.22,0.05
Malla 12%,LEVANTE,0.86,217,0.0,0.48,0.76,1.16,2.28,0.5,0.25,0.03
Malla 14%,ENGORDE,6.22,41,2.36,5.22,6.2,6.92,10.96,2.01,4.03,0.31
Malla 14%,FINALIZADOR,6.02,74,0.92,4.43,6.0,7.69,11.24,2.21,4.87,0.25
Malla 14%,LEVANTE,6.03,218,0.0,4.65,6.25,7.6,10.6,2.2,4.85,0.15
Malla 16%,ENGORDE,5.38,41,2.8,4.5,5.16,6.4,8.76,1.45,2.12,0.23
Malla 16%,FINALIZADOR,5.93,74,2.44,4.55,6.12,7.22,9.76,1.61,2.58,0.19
Malla 16%,LEVANTE,5.51,218,0.0,4.72,5.54,6.5,8.88,1.53,2.34,0.1
Pan,ENGORDE,87.1,41,76.64,85.28,87.4,89.12,94.4,3.86,14.9,0.6
Pan,FINALIZADOR,87.03,74,77.92,83.84,87.2,89.84,96.16,3.93,15.45,0.45
Pan,LEVANTE,87.38,214,79.36,84.4,86.94,90.0,100.0,4.01,16.06,0.27
