Instrumento,Orden producción,Media,Cantidad,Mínimo,Quantil25,Mediana,Quantil75,Máximo,Desviacion Estandar,Varianza,Error Estandar
TERMOMETRO PLANTA,1.0,70.91,8,56.02,69.7,72.48,73.76,80.12,6.96,48.47,1.42
TERMOMETRO AGROINDUSTRIA,1.0,63.32,24,29.8,34.83,71.1,81.3,93.3,22.08,487.33,4.51
TERMOMETRO AGROINDUSTRIA,17.0,65.64,6,33.03,43.66,76.8,84.66,87.3,25.66,658.43,10.48
TERMOMETRO AGROINDUSTRIA,33.0,62.0,6,32.0,42.88,71.1,78.18,83.8,23.22,539.08,9.48
TERMOMETRO AGROINDUSTRIA,77.0,63.77,6,30.0,43.15,74.75,80.85,87.6,25.6,655.4,10.45
TERMOMETRO AGROINDUSTRIA,93.0,61.48,6,34.0,43.15,71.0,76.2,81.1,21.61,467.02,8.82
TERMOMETRO AGROINDUSTRIA,94.0,62.37,9,32.5,33.1,75.5,77.2,82.8,22.53,507.67,7.51
TERMOMETRO AGROINDUSTRIA,95.0,58.98,9,29.7,32.0,71.1,79.1,81.5,22.56,508.99,7.52
TERMOMETRO AGROINDUSTRIA,97.0,62.65,6,31.9,43.25,72.3,79.6,83.8,23.65,559.5,9.66
TERMOMETRO AGROINDUSTRIA,100.0,60.32,6,30.3,41.92,71.25,76.12,79.2,22.76,517.89,9.29
TERMOMETRO AGROINDUSTRIA,101.0,62.51,15,29.0,35.85,71.4,81.6,87.3,22.71,515.77,5.86
TERMOMETRO AGROINDUSTRIA,105.0,61.31,9,29.1,33.5,70.3,80.5,82.0,22.68,514.53,7.56
TERMOMETRO AGROINDUSTRIA,106.0,62.32,12,29.9,33.83,72.6,82.35,85.2,23.13,535.11,6.68
TERMOMETRO AGROINDUSTRIA,108.0,61.29,9,30.6,33.1,72.4,79.3,84.3,23.04,530.87,7.68
TERMOMETRO AGROINDUSTRIA,110.0,60.77,6,30.4,40.9,71.95,77.5,80.4,23.63,558.59,9.65
TERMOMETRO AGROINDUSTRIA,112.0,61.7,6,32.5,41.95,71.6,78.82,81.2,22.99,528.37,9.38
TERMOMETRO AGROINDUSTRIA,113.0,63.65,6,30.9,43.05,73.1,82.75,85.8,25.14,632.02,10.26
