Punto,Dieta,Media,Cantidad,Mínimo,P25,Mediana,P75,Máximo,Desviación estandar,Varianza,Error estandar
ZARANDA 1,C.ENGORDE ESP VR,3.01,102,2.0,3.0,3.0,3.1,3.5,0.17,0.03,0.02
ZARANDA 2,C.ENGORDE ESP VR,3.09,9,3.0,3.0,3.0,3.1,3.6,0.2,0.04,0.07
ZARANDA 1,C.FINALIZADOR P,3.01,10,2.4,3.0,3.05,3.1,3.2,0.23,0.05,0.07
ZARANDA 2,C.FINALIZADOR P,3.16,10,3.0,3.02,3.1,3.2,3.7,0.21,0.04,0.07
ZARANDA 1,C.GESTACION ESP 2,3.04,8,3.0,3.0,3.0,3.1,3.1,0.05,0.0,0.02
POS-ENGRASE,C.GESTACION ESP P,4.48,23,2.8,3.0,3.1,3.55,30.0,5.58,31.16,1.16
ZARANDA 1,C.GESTACION ESP P,3.29,40,3.0,3.0,3.15,3.41,4.0,0.34,0.12,0.05
ZARANDA 2,C.GESTACION ESP P,3.11,18,3.0,3.0,3.0,3.18,3.5,0.18,0.03,0.04
POS-ENGRASE,C.GESTACION P,3.31,16,3.0,3.0,3.3,3.5,4.0,0.29,0.08,0.07
ZARANDA 1,C.GESTACION P,3.33,63,2.9,3.0,3.1,3.5,4.3,0.4,0.16,0.05
ZARANDA 2,C.GESTACION P,3.44,18,3.0,3.0,3.25,3.48,4.6,0.56,0.32,0.13
POS-ENGRASE,C.INICIACIÓN P INMUNIDAD,5.62,195,2.7,3.0,3.0,3.1,500.0,35.59,1266.37,2.55
ZARANDA 2,C.INICIACIÓN P INMUNIDAD,3.0,6,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0
POS-ENGRASE,C.LACTANCIA PRIMERIZAS ESP P,3.25,70,2.6,3.0,3.0,3.1,8.3,0.88,0.78,0.11
POS-ENGRASE,C.LACTANCIA PRIMERIZAS P,3.11,64,2.8,3.0,3.1,3.1,4.0,0.2,0.04,0.03
ZARANDA 1,C.LACTANCIA PRIMERIZAS P,3.13,7,3.0,3.05,3.1,3.1,3.5,0.17,0.03,0.06
POS-ENGRASE,C.LACTANCIA PRIMERIZAS.,3.16,8,3.0,3.0,3.0,3.22,3.8,0.28,0.08,0.1
ZARANDA 2,C.LACTANCIA SILO H. ALIAR,3.08,13,3.0,3.0,3.0,3.1,3.4,0.13,0.02,0.04
ZARANDA 1,C.LEVANTE P,3.07,27,2.9,3.0,3.0,3.1,3.4,0.11,0.01,0.02
ZARANDA 2,C.LEVANTE P,3.07,6,3.0,3.0,3.0,3.08,3.3,0.12,0.01,0.05
ZARANDA 1,C.LEVANTE P CMC,3.08,20,3.0,3.0,3.0,3.1,4.0,0.22,0.05,0.05
ZARANDA 2,C.LEVANTE P CMC,3.31,17,3.0,3.0,3.2,3.3,4.44,0.43,0.18,0.1
ZARANDA 1,C.LEVANTE VR P,3.06,118,2.5,3.0,3.0,3.1,4.2,0.18,0.03,0.02
ZARANDA 2,C.LEVANTE VR P,3.09,92,2.24,3.0,3.0,3.1,4.8,0.28,0.08,0.03
ZARANDA 1,C.MACHOS ESP 113,3.12,13,3.0,3.0,3.0,3.1,4.0,0.28,0.08,0.08
ZARANDA 1,C.NOVILLAS P ALIAR,3.43,11,3.0,3.2,3.4,3.6,4.0,0.32,0.1,0.1
ZARANDA 1,C.PREINICIACIÓN F1 P INMUNIDAD,3.13,28,3.0,3.0,3.0,3.1,4.9,0.4,0.16,0.07
ZARANDA 1,C.PREINICIACIÓN F2 P INMUNIDAD,3.06,32,2.9,3.0,3.0,3.1,3.6,0.14,0.02,0.02
ZARANDA 1,C.PRELACTANCIA H. ALIAR,3.29,8,3.0,3.0,3.25,3.35,4.0,0.34,0.12,0.12
ZARANDA 1,C.REEMPLAZOS P SI-B,3.25,27,3.0,3.0,3.1,3.5,4.0,0.33,0.11,0.06
ZARANDA 2,C.REEMPLAZOS P SI-B,3.13,6,3.0,3.0,3.05,3.18,3.5,0.2,0.04,0.08
ZARANDA 1,C.TERNERAS H. ALIAR,3.43,11,3.0,3.2,3.4,3.5,4.0,0.33,0.11,0.1
ZARANDA 1,FINALIZADOR VR,3.04,126,2.5,3.0,3.0,3.1,3.7,0.13,0.02,0.01
ZARANDA 2,FINALIZADOR VR,3.06,152,2.7,3.0,3.0,3.1,7.2,0.36,0.13,0.03
POS-ENGRASE,LEVANTE R ESP VR,3.03,6,3.0,3.0,3.0,3.08,3.1,0.05,0.0,0.02
ZARANDA 1,LEVANTE R ESP VR,3.05,183,2.45,3.0,3.0,3.0,8.2,0.51,0.26,0.04
ZARANDA 2,LEVANTE R ESP VR,3.03,57,2.8,3.0,3.0,3.0,3.4,0.1,0.01,0.01
