Granulometría,Dieta,Media,Cantidad,Mínimo,P25,Mediana,P75,Máximo,Desviación estandar,Varianza,Error estandar
Malla 10%,C.ENGORDE ESP VR,0.3,70,0.04,0.16,0.28,0.4,0.9,0.18,0.03,0.02
Malla 10%,C.FINALIZADOR P,0.35,19,0.08,0.24,0.32,0.48,0.92,0.2,0.04,0.04
Malla 10%,C.GESTACION ESP 2,0.2,9,0.12,0.12,0.16,0.24,0.36,0.08,0.01,0.03
Malla 10%,C.GESTACION ESP P,0.27,54,0.04,0.16,0.24,0.36,1.25,0.19,0.04,0.03
Malla 10%,C.GESTACION P,0.27,70,0.04,0.12,0.25,0.36,1.04,0.21,0.04,0.02
Malla 10%,C.GESTACIÓN P CUARENTENA,0.27,6,0.08,0.23,0.32,0.34,0.36,0.11,0.01,0.04
Malla 10%,C.INICIACIÓN P INMUNIDAD,0.37,150,0.04,0.2,0.32,0.48,1.16,0.23,0.05,0.02
Malla 10%,C.LACTANCIA PRIMERIZAS ESP P,0.33,64,0.04,0.16,0.27,0.41,1.56,0.25,0.06,0.03
Malla 10%,C.LACTANCIA PRIMERIZAS P,0.39,45,0.04,0.24,0.32,0.44,2.92,0.44,0.19,0.07
Malla 10%,C.LACTANCIA PRIMERIZAS.,0.37,7,0.08,0.18,0.24,0.62,0.64,0.25,0.06,0.09
Malla 10%,C.LACTANCIA SILO H. ALIAR,0.27,12,0.04,0.08,0.14,0.3,1.32,0.36,0.13,0.1
Malla 10%,C.LEVANTE P,0.3,27,0.08,0.12,0.28,0.48,0.64,0.19,0.04,0.04
Malla 10%,C.LEVANTE P CMC,0.26,30,0.04,0.16,0.24,0.33,0.58,0.15,0.02,0.03
Malla 10%,C.LEVANTE VR P,0.38,151,0.02,0.2,0.36,0.5,1.32,0.24,0.06,0.02
Malla 10%,C.MACHOS ESP 113,0.33,12,0.08,0.16,0.34,0.49,0.56,0.18,0.03,0.05
Malla 10%,C.NOVILLAS CEBA,9.45,11,5.1,8.52,9.64,11.0,11.8,2.08,4.31,0.63
Malla 10%,C.NOVILLAS LEVANTE,8.93,10,0.76,6.98,9.8,11.63,14.7,4.15,17.19,1.31
Malla 10%,C.NOVILLAS P ALIAR,0.15,11,0.04,0.08,0.12,0.2,0.36,0.1,0.01,0.03
Malla 10%,C.PREINICIACIÓN F1 P INMUNIDAD,0.5,30,0.06,0.18,0.48,0.78,1.16,0.34,0.12,0.06
Malla 10%,C.PREINICIACIÓN F2 P INMUNIDAD,0.84,30,0.16,0.32,0.44,0.75,10.4,1.83,3.34,0.32
Malla 10%,C.PRELACTANCIA H. ALIAR,4.26,7,0.28,2.36,4.96,6.38,7.08,2.86,8.17,1.08
Malla 10%,C.REEMPLAZOS P SI-B,0.24,32,0.04,0.12,0.24,0.32,0.76,0.16,0.03,0.03
Malla 10%,C.TERNERAS H. ALIAR,0.14,11,0.04,0.04,0.12,0.18,0.36,0.11,0.01,0.03
Malla 10%,FINALIZADOR VR,0.43,206,0.04,0.24,0.32,0.52,2.28,0.34,0.12,0.02
Malla 10%,LEVANTE R ESP VR,0.36,158,0.04,0.17,0.32,0.48,1.84,0.27,0.07,0.02
Malla 12%,C.ENGORDE ESP VR,0.58,70,0.14,0.37,0.48,0.8,1.32,0.26,0.07,0.03
Malla 12%,C.FINALIZADOR P,0.73,19,0.24,0.38,0.76,0.98,1.44,0.36,0.13,0.08
Malla 12%,C.GESTACION ESP 2,0.46,9,0.24,0.32,0.4,0.56,0.84,0.19,0.03,0.06
