Punto,Dieta,Media,Cantidad,Mínimo,P25,Mediana,P75,Máximo,Desviación estandar,Varianza,Error estandar
ZARANDA 1,C.ENGORDE ESP VR,91.13,103,79.2,90.15,91.0,92.0,98.0,1.88,3.52,0.18
ZARANDA 2,C.ENGORDE ESP VR,91.47,9,90.0,90.6,91.8,92.0,93.0,1.01,1.02,0.34
ZARANDA 1,C.FINALIZADOR P,92.08,10,90.4,91.0,91.8,92.6,95.0,1.51,2.29,0.48
ZARANDA 2,C.FINALIZADOR P,94.07,10,91.0,93.85,94.5,95.1,95.4,1.43,2.05,0.45
ZARANDA 1,C.GESTACION ESP 2,90.76,8,89.2,90.0,90.75,91.5,92.2,1.02,1.04,0.36
POS-ENGRASE,C.GESTACION ESP P,93.14,23,88.6,91.3,92.8,96.0,96.8,2.45,5.99,0.51
ZARANDA 1,C.GESTACION ESP P,90.54,40,85.2,90.0,90.9,91.6,96.3,1.86,3.47,0.29
ZARANDA 2,C.GESTACION ESP P,91.07,18,89.0,90.0,90.8,92.0,94.5,1.36,1.84,0.32
POS-ENGRASE,C.GESTACION P,93.13,16,90.0,92.05,93.4,94.25,96.2,2.05,4.18,0.51
ZARANDA 1,C.GESTACION P,91.2,63,85.6,90.7,91.2,92.0,94.0,1.46,2.12,0.18
ZARANDA 2,C.GESTACION P,92.03,18,90.0,90.85,91.8,92.95,96.0,1.6,2.57,0.38
POS-ENGRASE,C.INICIACIÓN P INMUNIDAD,95.31,195,90.4,94.4,95.4,96.0,99.2,1.58,2.49,0.11
ZARANDA 2,C.INICIACIÓN P INMUNIDAD,92.33,6,90.4,91.25,92.3,92.9,95.0,1.63,2.65,0.66
POS-ENGRASE,C.LACTANCIA PRIMERIZAS ESP P,92.66,70,17.1,92.2,93.7,95.35,97.8,9.38,87.99,1.12
POS-ENGRASE,C.LACTANCIA PRIMERIZAS P,94.05,64,90.0,93.0,94.4,95.2,97.6,1.67,2.78,0.21
ZARANDA 1,C.LACTANCIA PRIMERIZAS P,92.14,7,90.0,90.15,92.0,93.4,95.9,2.3,5.31,0.87
POS-ENGRASE,C.LACTANCIA PRIMERIZAS.,94.44,8,92.6,94.0,94.1,95.18,96.0,1.09,1.19,0.39
ZARANDA 2,C.LACTANCIA SILO H. ALIAR,91.4,13,87.0,90.8,91.5,92.0,93.6,1.72,2.95,0.48
ZARANDA 1,C.LEVANTE P,93.03,27,86.7,92.2,93.8,94.35,96.0,2.0,4.0,0.38
ZARANDA 2,C.LEVANTE P,92.58,6,90.3,90.5,92.6,94.55,95.0,2.3,5.27,0.94
ZARANDA 1,C.LEVANTE P CMC,91.4,20,90.0,90.3,91.0,92.0,94.4,1.31,1.71,0.29
ZARANDA 2,C.LEVANTE P CMC,92.16,17,85.9,91.6,92.0,93.4,95.8,2.21,4.88,0.54
ZARANDA 1,C.LEVANTE VR P,91.52,118,86.0,91.0,91.5,92.0,95.8,1.3,1.7,0.12
ZARANDA 2,C.LEVANTE VR P,91.75,92,86.4,90.5,91.3,92.8,99.0,1.74,3.02,0.18
ZARANDA 1,C.MACHOS ESP 113,92.03,13,90.0,90.8,91.2,94.0,95.2,1.84,3.39,0.51
ZARANDA 1,C.NOVILLAS P ALIAR,94.89,11,92.0,94.0,95.2,95.9,97.0,1.57,2.47,0.47
ZARANDA 1,C.PREINICIACIÓN F1 P INMUNIDAD,97.58,28,91.0,97.2,98.0,98.6,99.2,1.64,2.69,0.31
ZARANDA 1,C.PREINICIACIÓN F2 P INMUNIDAD,97.6,32,90.4,97.5,98.0,98.65,99.6,1.79,3.2,0.32
ZARANDA 1,C.PRELACTANCIA H. ALIAR,95.58,8,90.0,95.0,96.9,97.6,97.6,2.94,8.62,1.04
ZARANDA 1,C.REEMPLAZOS P SI-B,90.83,27,82.0,90.0,91.0,91.75,95.0,2.39,5.7,0.46
ZARANDA 2,C.REEMPLAZOS P SI-B,91.18,6,90.0,90.25,91.0,91.45,93.5,1.3,1.68,0.53
ZARANDA 1,C.TERNERAS H. ALIAR,95.25,11,92.4,94.6,95.0,96.0,97.6,1.41,2.0,0.43
ZARANDA 1,FINALIZADOR VR,91.51,127,86.8,90.9,91.4,92.0,96.7,1.36,1.86,0.12
ZARANDA 2,FINALIZADOR VR,91.4,152,85.0,90.8,91.4,92.0,96.0,1.45,2.11,0.12
POS-ENGRASE,LEVANTE R ESP VR,92.52,6,90.8,91.2,91.6,94.18,95.0,1.93,3.71,0.79
ZARANDA 1,LEVANTE R ESP VR,90.34,183,10.0,90.2,91.0,92.0,95.0,8.18,66.85,0.6
ZARANDA 2,LEVANTE R ESP VR,90.19,58,18.2,90.65,91.0,92.0,94.4,9.69,93.95,1.27
