Dieta,Media ZARANDA 1,Media ZARANDA 2,Valor p,Diferencia Significativa,Mejor Zaranda
C.ENGORDE ESP VR,91.13106796116504,91.46666666666667,,No,ZARANDA 2
C.REEMPLAZOS P SI-B,90.82962962962964,91.18333333333334,0.9246702039879828,No,ZARANDA 2
C.LEVANTE P,93.03333333333333,92.58333333333333,0.8700795442334511,No,ZARANDA 1
C.LEVANTE VR P,91.52203389830507,91.75434782608697,0.606038478328425,No,ZARANDA 2
FINALIZADOR VR,91.51181102362206,91.40197368421053,0.8411813243396884,No,ZARANDA 1
C.GESTACION ESP P,90.54249999999999,91.06666666666666,0.4297779227868257,No,ZARANDA 2
C.LEVANTE P CMC,91.405,92.15882352941178,0.05509785006858354,No,ZARANDA 2
LEVANTE R ESP VR,90.34098360655736,90.19482758620688,0.4113608935302794,No,ZARANDA 1
C.INICIACIÓN P INMUNIDAD,94.2,92.33333333333333,0.29967715920559657,No,ZARANDA 1
C.LACTANCIA PRIMERIZAS ESP P,91.5,93.8,0.3333333333333333,No,ZARANDA 2
C.PREINICIACIÓN F2 P INMUNIDAD,97.603125,96.19999999999999,0.1409985724090917,No,ZARANDA 1
C.LACTANCIA SILO H. ALIAR,91.4,91.4,0.8645344512221312,No,Iguales
C.GESTACION P,91.1952380952381,92.03333333333333,0.12839744935074776,No,ZARANDA 2
C.LACTANCIA PRIMERIZAS P,92.14285714285714,93.5,0.5565355488608014,No,ZARANDA 2
C.FINALIZADOR P,92.08000000000001,94.07,0.013839592491786517,Sí,ZARANDA 2
